provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google data centres,global,Data centers,,2024,discharge,2079,million US gal,7869871098.936,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,global,Data centers,,2024,consumption,7787,million US gal,29477001562.008,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,global,Data centers,,2025,withdrawal,13562,million US gal,51337754614.608,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,global,Data centers,,2025,discharge,3039,million US gal,11503866411.576,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,global,Data centers,,2025,consumption,10523,million US gal,39833888203.032,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Douglas County, GA",US,2024,withdrawal,444.1,million US gal,1681101373.2744,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Douglas County, GA",US,2024,discharge,77.2,million US gal,292233789.7248,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Douglas County, GA",US,2024,consumption,366.9,million US gal,1388867583.5496,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Douglas County, GA",US,2025,withdrawal,440.6,million US gal,1667852432.0304,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Douglas County, GA",US,2025,discharge,73.5,million US gal,278227766.124,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Douglas County, GA",US,2025,consumption,367.1,million US gal,1389624665.9064,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Dublin, Ireland",IE,2024,withdrawal,0.9,million US gal,3406870.6056,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Dublin, Ireland",IE,2024,discharge,0.8,million US gal,3028329.4272,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Dublin, Ireland",IE,2024,consumption,0.1,million US gal,378541.1784,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Dublin, Ireland",IE,2025,withdrawal,0.5,million US gal,1892705.892,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Dublin, Ireland",IE,2025,discharge,0.4,million US gal,1514164.7136,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Dublin, Ireland",IE,2025,consumption,0.1,million US gal,378541.1784,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
