provider,service_applicability,region,period,wue_l_per_kwh,value_qualifier,water_flow,denominator,caveat,source_report_id,source_url
Microsoft,Microsoft owned-datacentre fleet,Microsoft owned datacentres (global),FY25,0.27,exact,provider_reported_water_use,it_equipment_energy,"Not Azure-specific; fleet average, not a workload factor",microsoft_2026_environmental_sustainability_report,https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Americas,FY24,0.38,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Americas,FY25,0.34,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Asia Pacific,FY24,0.03,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Asia Pacific,FY25,0.25,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,"Microsoft owned datacentres — Europe, Middle East & Africa",FY24,0.03,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,"Microsoft owned datacentres — Europe, Middle East & Africa",FY25,0.03,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Global,FY24,0.3,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
Microsoft,Microsoft owned-and-controlled datacentres,Microsoft owned datacentres — Global,FY25,0.27,exact,provider_reported_water_use,it_equipment_energy,Not Azure-specific; Datacentres not operational for the full 12 months; Not Azure-specific; owned-datacentre regional average,microsoft_datacenter_wue_page,https://datacenters.microsoft.com/sustainability/efficiency/
