provider,scope,location,period,metric,water_flow,percent,value_qualifier,caveat,source_report_id,source_url,report_year
Microsoft,Microsoft corporate operations in water-stressed areas,Global corporate operations,FY25,Share of withdrawal in water-stressed areas,withdrawal,50.0,exact,,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft corporate operations in water-stressed areas,Global corporate operations,FY25,Share of discharge in water-stressed areas,discharge,54.0,exact,,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft corporate operations in water-stressed areas,Global corporate operations,FY25,Share of consumption in water-stressed areas,consumption,48.0,exact,,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),Quincy (WA) datacentre,FY25,Share of withdrawal from recycled/reused/non-potable sources,withdrawal,74.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),San Antonio (TX) datacentre,FY25,Share of withdrawal from recycled/reused/non-potable sources,withdrawal,79.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
Microsoft,Microsoft-owned datacentre location (FY25),Singapore datacentre,FY25,Share of withdrawal from recycled/reused/non-potable sources,withdrawal,99.0,exact,Excludes commissioning and locations collectively <1% of owned-datacentre withdrawal/electricity; Section 2 detail; not part of the assured Section 1 metrics.,microsoft_2026_environmental_data_factsheet,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2026-Environmental-Data-Fact-Sheet.pdf,2026
