provider,scope,location,period,metric,water_flow,percent,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2024,Share of freshwater withdrawal by water-risk level,withdrawal,72,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2024,Share of freshwater withdrawal by water-risk level,withdrawal,14,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2024,Share of freshwater withdrawal by water-risk level,withdrawal,14,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2025,Share of freshwater withdrawal by water-risk level,withdrawal,72,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2025,Share of freshwater withdrawal by water-risk level,withdrawal,15,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data centres,Google freshwater withdrawal by risk level,2025,Share of freshwater withdrawal by water-risk level,withdrawal,13,exact,Serves multiple Google products; not GCP-specific,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),"Google The Dalles, Oregon data centres","The Dalles, Oregon",2025,Share of city water use,provider_reported_water_use,40.0,approximate,Secondary source,google_the_dalles_records,https://www.latitudemedia.com/news/data-center-water-use-black-box-google-trying-to-change/,2025
